species,country,individual_id
Outgroup: Lomatium_dasycarpum subsp. tomentosum,Butte_CA,L_dasy_tomentosa_Ahart20824
Lomatium_inyoense,Inyo_CA,L_inyo_Andre13814
Lomatium_inyoense,Inyo_CA,Lomfoeinyo_Andre13826
Lomatium_fimbriatum,Esmeralda_NV,L_fim_Andre36581
Lomatium_fimbriatum,Churchill_NV,LomfoemacBaker18896
Lomatium_foeniculaceum var. daucifolium,Dallas_TX,Lomfoedauc_Baldon212
Lomatium_semivaginatum,Custer_ID,Cym_bipinnatus_RCB209
Lomatium_mohavense,San_Bernardino_CA,Lom_mohavense_RCB313
Lomatium_macdougalii,Yavapai_AZ,Lomfoemac_Bond310
Cymopterus nivalis,Lake_OR,Lomfoemac_DB201
Lomatium_fimbriatum,Malheur_OR,L_fim_Carlson002
Outgroup: Lomatium_ravenii var. paiutense,Malheur_OR,Lom_ravenii_paiutense_Carlson006
Outgroup: Lomatium_bentonitum,Malheur_OR,Lom_bentonitum_Carlson038
Lomatium_foeniculaceum var. foeniculaceum,Valley_MT,Lomfoefoe_Charboneau4174
Outgroup: Lomatium_dasycarpum,Mendocino_CA,L_dasy_BE12321
Outgroup: Lomatium_dasycarpum,Contra_Costa_CA,L_dasycarpum_BE15533
Outgroup: Lomatium_ravenii var. ravenii,Larsen_CA,Lom_ravenii_ravenii_BE19820
Lomatium_foeniculaceum var. daucifolium,Carter_OK,L_dauc_MAF7939
Lomatium_foeniculaceum var. daucifolium,Cleveland_OK,Lomfoedauc_MAF7941
Lomatium_foeniculaceum var. daucifolium,Caddo_OK,L_dauc_MAF7942
Lomatium_foeniculaceum var. daucifolium,Blaine_OK,LomfoedaMF7944
Lomatium_foeniculaceum var. daucifolium,Pawnee_OK,L_dauc_MAF7945
Lomatium_foeniculaceum var. daucifolium,Cowley_KS,L_dauc_MAF7948
Lomatium_foeniculaceum var. daucifolium,Coffey_KS,L_dauc_MAF7949
Lomatium_foeniculaceum var. daucifolium,Russell_KS,LomfoedaMF7950
Lomatium_foeniculaceum var. daucifolium,Russell_KS,L_dauc_MAF7951
Lomatium_foeniculaceum var. daucifolium,Pottawatomie_KS,L_dauc_MAF7952
Lomatium_foeniculaceum var. foeniculaceum,Lyman_SD,Lfoe_foe_MAF7953
Lomatium_foeniculaceum var. foeniculaceum,Stanley_SD,L_foe_MAF7955
Lomatium_foeniculaceum var. foeniculaceum,Jackson_SD,L_foe_MAF7966
Lomatium_foeniculaceum var. foeniculaceum,McKenzie_ND,Lfoe_foe_MAF7971
Lomatium_juniperinum,Uinta_WY,Lom_juniperinum_Fertig17530
Lomatium_fimbriatum,Lincoln_NV,L_mac_Gust3404
Outgroup: Lomatium_dasycarpum subsp. tomentosum,Lake_CA,Lom_dasycarpum_tomentosum_Halse9921
Lomatium_fimbriatum,Lincoln_NV,L_fim_Hinchliff1306
Lomatium_semivaginatum,Beaverhead_MT,Lomfoe_CEH1354
Lomatium_fimbriatum,Beaver_UT,L_fim_Johnson2014
Lomatium_macdougalii,Juab_UT,L_mac_Johnson3488
Lomatium_foeniculaceum var. daucifolium,Las_Animas_CO,Lomfoe_Kelso07-43
Lomatium_fimbriatum,Iron_UT,Lomfoefim_Madsen4956
Lomatium_fimbriatum,Elko_NV,C_nivalis_DM18567
Outgroup: Lomatium_dasycarpum subsp. dasycarpum,Napa_CA,Lom_dasycarpum_RM2016051304
Lomatium_foeniculaceum var. daucifolium,Brown_KS,Lomfoedauc_Morse7650
Lomatium_macdougalii,Coconino_AZ,Lomfoemac_Rink10618
Lomatium_foeniculaceum var. daucifolium,Washington_KS,LomffRoffsmeier19936
Lomatium_macdougalii,Grant_NM,Lomfoemac_Sivinski7524
Lomatium_semivaginatum,Custer_ID,LomfoeJFS8403
Lomatium_semivaginatum,Butte_ID,LomfoeJFS13382
Lomatium_semivaginatum,Elmore_ID,LomfoeJFS14132
Lomatium_foeniculaceum var. foeniculaceum,Sublette_WY,LomfoefoJFS17353
Lomatium_foeniculaceum var. foeniculaceum,Sweetwater_WY,L_foe_Smith17389
Lomatium_foeniculaceum var. foeniculaceum,Carbon_WY,L_foe_Smith17409
Lomatium_foeniculaceum var. foeniculaceum,Campbell_WY,Lomfoe_JFS17414
Lomatium_foeniculaceum var. foeniculaceum,Carter_MT,L_foe_Smith17415
Lomatium_foeniculaceum var. foeniculaceum,Phillips_MT,L_foe_Smith17419
Lomatium_foeniculaceum var. foeniculaceum,Park_WY,L_foe_Smith17428
Lomatium_fimbriatum,Lincoln_NV,Lomfoefim_Tiehm11026
Lomatium_sp.,Washoe_NV,L_mac_Tiehm12333
Lomatium_fimbriatum,Esmeralda_NV,L_fim_Tiehm16924
Lomatium_foeniculaceum var. daucifolium,Roger_Mills_KS,L_novar_Timme14085
Lomatium_semivaginatum,Malheur_OR,L_mac_Mansfield7010
Lomatium_semivaginatum,Cassia_ID,Lom_foe_macdougalii_LeBlanc518
