species,country,individual_id
Pterocarpus_erinaceus,Burkina Faso,LA002_P_erinaceus
Pterocarpus_lucens,Burkina Faso,LA003_P_lucens
Pterocarpus_lucens,Burkina Faso,LA004_P_lucens
Pterocarpus_lucens,Burkina Faso,LA005_P_lucens
Pterocarpus_lucens,Zimbabwe,LA006_P_lucens
Pterocarpus_mildbraedii,Cameroon,LA007_P_mildbraedii
Pterocarpus_rotundifolius,DRC,LA008_P_rotundifolius
Pterocarpus_rotundifolius,DRC,LA009_P_rotundifolius
Pterocarpus_rotundifolius,DRC,LA010_P_rotundifolius
Pterocarpus_rotundifolius,DRC,LA011_P_rotundifolius
Pterocarpus_santalinoides,Benin,LA012_P_santalinoides
Pterocarpus_santalinoides,Mali,LA014_P_santalinoides
Pterocarpus_santalinoides,Mali,LA015_P_santalinoides
Pterocarpus_tinctorius,DRC,LA016_P_tinctorius
Pterocarpus_tinctorius,DRC,LA018_P_tinctorius
Pterocarpus_tinctorius,DRC,LA019_P_tinctorius
Pterocarpus_tinctorius,DRC,LA020_P_tinctorius
Pterocarpus_angolensis,Angola,LA021_P_angolensis
Pterocarpus_angolensis,Tanzania,LA026_P_angolensis
Pterocarpus_angolensis,Zambia,LA027_P_angolensis
Pterocarpus_angolensis,Zambia,LA028_P_angolensis
Pterocarpus_angolensis,Zambia,LA029_P_angolensis
Pterocarpus_angolensis,Zimbabwe,LA030_P_angolensis
Pterocarpus_angolensis,Angola,LA033_P_angolensis
Pterocarpus_angolensis,DRC,LA037_P_angolensis
Pterocarpus_tinctorius,DRC,LA039_P_tinctorius
Pterocarpus_angolensis,South Africa,LA040_P_angolensis
Pterocarpus_brenanii,Mozambique,LA042_P_brenanii
Pterocarpus_brenanii,Zimbabwe,LA044_P_brenanii
Pterocarpus_brenanii,Zimbabwe,LA045_P_brenanii
Pterocarpus_brenanii,Zimbabwe,LA046_P_brenanii
Pterocarpus_erinaceus,Guinea,LA050_P_erinaceus
Pterocarpus_erinaceus,Guinea Bissau,LA051_P_erinaceus
Pterocarpus_erinaceus,Senegal,LA052_P_erinaceus
Pterocarpus_erinaceus,Guinea,LA053_P_erinaceus
Pterocarpus_erinaceus,Senegal,LA055_P_erinaceus
Pterocarpus_erinaceus,Senegal,LA056_P_erinaceus
Pterocarpus_erinaceus,Togo,LA058_P_erinaceus
Pterocarpus_erinaceus,Ghana,LA059_P_erinaceus
Pterocarpus_lucens,Angola,LA060_P_lucens
Pterocarpus_lucens,Central African Republic,LA062_P_lucens
Pterocarpus_lucens,Ethiopia,LA064_P_lucens
Pterocarpus_lucens,Ethiopia,LA065_P_lucens
Pterocarpus_lucens,Mozambique,LA066_P_lucens
Pterocarpus_lucens,Sudan,LA067_P_lucens
Pterocarpus_lucens,Zambia,LA068_P_lucens
Pterocarpus_lucens,Ethiopia,LA069_P_lucens
Pterocarpus_lucens,Angola,LA070_P_lucens
Pterocarpus_mildbraedii,Liberia,LA071_P_mildbraedii
Pterocarpus_mildbraedii,Cameroon,LA072_P_mildbraedii
Pterocarpus_officinalis,DRC,LA073_P_officinalis
Pterocarpus_officinalis,DRC,LA074_P_officinalis
Pterocarpus_mildbraedii,Cameroon,LA075_P_mildbraedii
Pterocarpus_osun,Cameroon,LA076_P_osun
Pterocarpus_rotundifolius,Malawi,LA077_P_rotundifolius
Pterocarpus_rotundifolius,Tanzania,LA078_P_rotundifolius
Pterocarpus_rotundifolius,Eswatini,LA079_P_rotundifolius
Pterocarpus_rotundifolius,Angola,LA080_P_rotundifolius
Pterocarpus_rotundifolius,Zimbabwe,LA081_P_rotundifolius
Pterocarpus_rotundifolius,Zimbabwe,LA082_P_rotundifolius
Pterocarpus_rotundifolius,Mozambique,LA083_P_rotundifolius
Pterocarpus_rotundifolius,Angola,LA084_P_rotundifolius
Pterocarpus_rotundifolius,Angola,LA085_P_rotundifolius
Pterocarpus_santalinoides,Ghana,LA088_P_santalinoides
Pterocarpus_santalinoides,Côte d'Ivoire,LA089_P_santalinoides
Pterocarpus_santalinoides,Giunea Bissau,LA090_P_santalinoides
Pterocarpus_santalinoides,Cameroon,LA091_P_santalinoides
Pterocarpus_santalinoides,Gabon,LA092_P_santalinoides
Pterocarpus_santalinoides,Senegal,LA093_P_santalinoides
Pterocarpus_santalinoides,Ghana,LA095_P_santalinoides
Pterocarpus_soyauxii,DRC,LA096_P_soyauxii
Pterocarpus_soyauxii,Gabon,LA097_P_soyauxii
Pterocarpus_soyauxii,DRC,LA101_P_soyauxii
Pterocarpus_soyauxii,Gabon,LA102_P_soyauxii
Pterocarpus_tessmannii,Gabon,LA103_P_tessmannii
Pterocarpus_tessmannii,DRC,LA104_P_tessmannii
Pterocarpus_tessmannii,DRC,LA105_P_tessmannii
Pterocarpus_tessmannii,DRC,LA106_P_tessmannii
Pterocarpus_tinctorius,Tanzania,LA108_P_tinctorius
Pterocarpus_tinctorius,Malawi,LA110_P_tinctorius
Pterocarpus_tinctorius,Tanzania,LA115_P_tinctorius
Pterocarpus_tinctorius,Zambia,LA117_P_tinctorius
Pterocarpus_tinctorius,DRC,LA119_P_tinctorius
Pterocarpus_tinctorius,DRC,LA120_P_tinctorius
D. ecastaphyllum,Republic of Congo,LA126_D_ecastaphyllum
Pterocarpus_erinaceus,Ghana,LA127_P_erinaceus
Pterocarpus_erinaceus,Benin,LA128_P_erinaceus
Pterocarpus_soyauxii,Cameroon,LA129_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA130_P_soyauxii
Pterocarpus_mildbraedii,Cameroon,LA131_P_mildbraedii
Pterocarpus_osun,Nigeria ,LA132_P_osun
Pterocarpus_osun,Cameroon,LA133_P_osun
Pterocarpus_santalinoides,Togo,LA134_P_santalinoides
Pterocarpus_santalinoides,Benin,LA135_P_santalinoides
Pterocarpus_santalinoides,Nigeria ,LA136_P_santalinoides
Pterocarpus_santalinoides,Benin,LA137_P_santalinoides
Pterocarpus_santalinoides,Benin,LA138_P_santalinoides
Pterocarpus_santalinoides,Giunea,LA139_P_santalinoides
Pterocarpus_soyauxii,DRC,LA140_P_soyauxii
Pterocarpus_soyauxii,Gabon,LA141_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA142_P_soyauxii
Pterocarpus_soyauxii,Gabon,LA143_P_soyauxii
Pterocarpus_soyauxii,Gabon,LA144_P_soyauxii
Pterocarpus_soyauxii,Central African Republic,LA145_P_soyauxii
Pterocarpus_soyauxii,DRC,LA146_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA147_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA148_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA149_P_soyauxii
Pterocarpus_soyauxii,Gabon,LA150_P_soyauxii
Pterocarpus_soyauxii,DRC,LA151_P_soyauxii
Pterocarpus_soyauxii,DRC,LA152_P_soyauxii
Pterocarpus_soyauxii,Republic of Congo,LA153_P_soyauxii
Pterocarpus_tinctorius,DRC,LA154_P_tinctorius
Pterocarpus_soyauxii,Gabon,LA155_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA156_P_soyauxii
Pterocarpus_soyauxii,Cameroon,LA157_P_soyauxii
Pterocarpus_soyauxii,Republic of Congo,LA158_P_soyauxii
Pterocarpus_soyauxii,Republic of Congo,LA159_P_soyauxii
Pterocarpus_tinctorius,DRC,LA160_P_tinctorius
Pterocarpus_rotundifolius,DRC,LA161_P_rotundifolius
Pterocarpus_tinctorius,DRC -Mayumbe ,LA162_P_tinctorius
Pterocarpus_rotundifolius,Malawi,LA163_P_rotundifolius
Pterocarpus_rotundifolius,DRC,LA164_P_rotundifolius
Pterocarpus_tinctorius,DRC -Mayumbe ,LA165_P_tinctorius
Pterocarpus_tinctorius,Tanzania,LA167_P_tinctorius
Pterocarpus_rotundifolius,Zimbabwe,LA169_P_rotundifolius
